"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"OL67_002076" 1248 737 584 928 981 1671 1059 1089 1378 455 632 835
"OL67_002077" 11 26 8 11 20 44 22 25 19 11 13 23
"OL67_002078" 18 14 16 13 8 24 23 12 13 14 15 9
"OL67_002079" 955 429 210 305 459 652 209 246 359 246 522 384
"OL67_002080" 5339 9183 6547 9499 5708 8289 1761 2114 1432 8681 15121 15337
"OL67_002081" 1900 3059 2587 3818 1985 3068 471 783 540 2993 4432 5079
"OL67_002082" 9070 23030 20057 23111 14362 21538 2476 5124 3233 27525 42282 43637
"OL67_002083" 4737 8717 7504 11346 5397 8802 913 1573 976 11570 18109 18431
"OL67_002084" 1256 4092 3418 6470 2331 3733 724 543 411 5654 8431 8587
"OL67_002085" 3593 6797 6251 11934 3061 5848 1408 1118 1107 8534 11892 10868
"OL67_002086" 523 499 396 542 445 632 525 423 582 292 412 532
"OL67_002087" 179 86 84 56 244 307 198 212 308 6198 9560 12078
"OL67_002088" 1261 787 553 2005 674 1234 795 651 1166 823 1315 1092
"OL67_002089" 9789 9855 6151 5530 11053 15082 12715 13679 19230 6169 8259 13147
"OL67_002090" 374 503 380 446 659 812 1184 1083 1422 221 266 485
"OL67_002091" 1506 205 152 307 930 1655 615 642 973 678 920 1444
"OL67_002092" 871 183 122 252 692 1371 481 441 772 617 898 1098
"OL67_002093" 284 36 31 93 265 456 181 181 273 175 258 296
"OL67_002094" 355 155 139 244 310 421 369 344 444 179 249 371
"OL67_002095" 1021 453 385 580 752 1174 856 824 1031 464 588 996
"OL67_002096" 687 1205 881 1128 743 1021 840 693 996 766 1072 1572
"OL67_002097" 28834 83267 59694 105370 29430 38482 40382 40558 53053 87155 108651 188807
"OL67_002098" 2438 4289 3265 5266 2255 3178 3321 2695 3495 4031 5398 6960
"OL67_002099" 1879 9821 7732 8015 2677 3790 3156 3053 4084 4226 5755 8281
"OL67_002100" 590 1923 1416 2192 519 762 551 513 754 1018 1618 2233
"OL67_002101" 448 693 437 584 411 603 475 400 557 386 560 789
"OL67_002102" 244 510 304 437 241 404 263 309 369 241 353 465
"OL67_002103" 235 405 288 386 271 447 311 339 400 299 363 448
"OL67_002104" 664 653 432 846 580 845 599 604 818 403 617 946
"OL67_002105" 3556 3751 2908 4426 3615 5483 4284 3860 5321 3432 4018 6577
"OL67_002106" 2291 5423 3156 3113 3208 3565 3462 3573 4011 4064 6402 8882
"OL67_002107" 444 786 636 1058 575 771 681 540 723 594 1047 1136
"OL67_002108" 183 312 193 348 238 305 205 217 283 227 390 520
"OL67_002109" 553 937 818 821 686 946 718 664 862 932 1342 1750
"OL67_002110" 398 1101 807 1634 235 314 382 217 353 659 1119 1024
"OL67_002111" 390 335 237 522 168 273 266 257 339 148 234 291
"OL67_002112" 3408 4515 1448 1891 5212 5985 2895 2528 5473 5106 10419 8129
"OL67_002113" 507 725 517 1400 481 722 413 428 456 633 894 1028
"OL67_002114" 88 115 85 84 130 174 156 128 192 71 110 163
"OL67_002115" 58 72 45 79 65 78 78 79 126 48 84 79
"OL67_002116" 125 66 59 79 83 87 110 90 87 36 31 81
"OL67_002117" 49 43 33 58 73 50 66 66 87 30 47 50
"OL67_002118" 214 271 231 244 202 317 285 251 355 105 155 249
"OL67_002119" 26 47 34 20 59 107 56 48 98 24 48 62
"OL67_002120" 118 109 99 136 116 173 175 131 217 58 89 122
"OL67_002121" 136 246 147 215 172 276 230 215 311 89 154 232
"OL67_002122" 73 107 50 60 104 130 93 113 130 55 69 85
"OL67_002123" 354 340 195 239 325 501 420 363 500 256 401 483
"OL67_002124" 312 364 230 279 305 535 355 330 547 304 425 513
"OL67_002125" 1550 4952 3534 3807 2690 3796 2779 3107 4056 1916 2570 4299
"OL67_002126" 776 741 548 703 775 1220 823 865 1130 391 546 765
"OL67_002127" 2027 2183 1605 1243 2099 2989 2562 2172 3102 1504 1881 2893
"OL67_002128" 2104 3240 2479 3214 2443 3086 4246 3309 4952 1604 1984 2991
"OL67_002129" 322 506 373 670 310 511 426 284 423 356 503 616
"OL67_002130" 636 647 339 619 398 555 432 349 526 507 835 858
"OL67_002131" 839 1386 934 1136 1160 1496 1325 1364 1647 705 1026 1534
"OL67_002132" 215 447 331 384 330 528 419 437 525 225 267 480
"OL67_002133" 243 661 844 1455 218 350 414 374 487 530 491 712
"OL67_002134" 2431 6408 4446 3185 2744 3956 4930 4816 5924 2182 2717 5014
"OL67_002135" 429 340 199 259 260 357 344 266 339 172 258 395
"OL67_002136" 177 192 131 184 183 274 180 173 219 132 205 292
"OL67_002137" 418 412 274 208 430 564 477 467 567 381 477 724
"OL67_002138" 55 65 49 81 33 63 53 32 57 62 112 136
"OL67_002139" 14 21 15 8 11 20 20 17 21 11 19 24
"OL67_002140" 1989 2633 1943 2786 2154 3136 2465 2496 3193 1649 2258 3344
"OL67_002141" 1012 2086 1517 1065 1331 2119 1618 1776 2639 1039 1465 2138
"OL67_002142" 128 260 218 300 130 219 146 138 189 121 157 229
"OL67_002143" 149 301 193 358 154 242 191 215 232 171 213 276
"OL67_002144" 87 115 70 125 111 169 110 84 131 82 86 107
"OL67_002145" 562 370 271 506 353 490 407 321 442 273 344 520
"OL67_002146" 636 649 367 512 605 722 586 539 777 445 570 852
"OL67_002147" 437 291 219 348 261 300 248 241 297 186 250 395
"OL67_002148" 2301 2604 1994 2388 2345 3765 2845 2487 3955 2178 2683 3926
"OL67_002149" 1588 1476 959 1261 1134 1561 1626 1141 1569 797 1011 1688
"OL67_002150" 522 371 275 339 392 730 422 415 542 247 311 492
"OL67_002151" 1172 937 726 1183 877 1298 1040 891 1140 534 754 1057
"OL67_002152" 76 329 191 372 67 103 78 64 94 296 553 491
"OL67_002153" 355 311 235 250 321 466 409 391 511 176 247 377
"OL67_002154" 376 506 359 408 385 561 577 457 551 274 360 576
"OL67_002155" 153 188 137 126 226 290 299 222 313 128 204 264
"OL67_002156" 464 515 358 484 503 773 615 580 735 349 510 671
"OL67_002157" 3099 1801 1318 1630 2778 4055 3779 3400 4338 1503 2144 2887
"OL67_002158" 563 510 412 601 514 785 648 556 700 250 381 589
"OL67_002159" 775 1390 986 1556 789 1160 998 748 1049 814 1249 1590
"OL67_002160" 475 281 190 223 463 631 477 504 619 191 299 482
"OL67_002161" 3810 2166 1597 2227 3022 4598 3414 3348 4642 2029 2924 3889
"OL67_002162" 1279 565 423 489 2631 3490 3108 2393 3958 508 720 1014
"OL67_002163" 766 538 471 559 718 1080 861 624 964 432 570 887
"OL67_002164" 2183 4843 3464 1660 3854 6088 4011 3781 5909 3002 4819 5989
"OL67_002165" 758 658 590 537 901 1193 994 823 1163 485 656 1081
"OL67_002166" 7091 5383 4490 5713 5152 7806 6244 5448 7362 4767 6506 9424
"OL67_002167" 1097 201 180 224 1276 1626 1140 1495 1582 187 264 392
"OL67_002168" 783 620 450 403 782 1217 963 682 1256 268 493 620
"OL67_002169" 505 1906 1329 1967 641 978 822 810 1032 653 836 1231
"OL67_002170" 371 822 595 1198 407 573 432 472 594 340 356 629
"OL67_002171" 143 336 139 117 175 155 559 294 478 1265 1970 1576
"OL67_002172" 411 569 404 684 408 599 415 411 576 576 627 1085
"OL67_002173" 510 547 419 954 391 555 459 458 575 513 803 1084
"OL67_002174" 139 361 279 582 178 268 220 201 302 426 518 649
"OL67_002175" 212 408 450 487 216 465 331 245 366 390 447 598
"OL67_002176" 227 341 261 247 292 368 349 272 412 169 245 358
"OL67_002177" 356 465 465 531 345 436 400 493 598 187 245 409
"OL67_002178" 88 162 141 101 123 188 179 154 171 76 125 191
"OL67_002179" 23 16 17 14 5 22 24 12 16 18 17 21
"OL67_002180" 233 170 124 111 137 215 187 149 239 140 180 313
"OL67_002181" 468 578 520 571 368 580 452 442 527 334 468 615
"OL67_002182" 82 74 42 48 117 171 115 90 152 52 73 122
"OL67_002183" 5106 4528 3617 5815 4649 7481 4951 5106 7061 3891 4814 7454
"OL67_002184" 372 395 243 369 354 577 471 428 532 278 365 525
"OL67_002185" 155 294 203 299 165 232 233 240 271 168 352 342
"OL67_002186" 784 518 428 485 723 1151 791 684 970 454 562 860
"OL67_002187" 1523 554 421 591 960 1504 1155 1069 1696 380 595 863
"OL67_002188" 2 23 14 12 22 29 14 16 28 18 12 20
"OL67_002189" 350 349 211 233 261 381 324 269 400 224 354 467
"OL67_002190" 1501 1538 1046 1509 1000 1519 1159 978 1534 1065 1469 1921
"OL67_002191" 350 370 310 280 329 442 493 399 522 214 342 433
"OL67_002192" 183 476 407 402 156 254 204 155 222 239 330 493
"OL67_002193" 1635 1575 897 1066 1326 1883 1505 1328 2094 919 1364 1725
"OL67_002194" 1197 3304 2751 4094 1195 2047 1758 1509 2422 2557 3655 3941
"OL67_002195" 1435 2877 2081 2976 1071 1579 1655 1471 1961 1591 1935 3091
"OL67_002196" 646 1492 1111 2048 476 628 619 637 769 939 1694 1628
"OL67_002197" 3333 53555 39148 37138 6360 8608 7744 8237 7729 5623 6639 12015
"OL67_002198" 217 610 387 288 318 441 403 437 500 210 335 495
"OL67_002199" 8628 24902 23006 25600 10098 14244 12261 9834 13082 21743 30480 45710
"OL67_002200" 52 530 455 729 64 101 94 81 121 278 412 468
"OL67_002201" 977 2205 1290 649 1774 3126 1983 1839 3101 1337 1908 2714
"OL67_002202" 604 294 183 216 586 809 573 537 820 190 242 374
"OL67_002203" 1518 1498 1072 1595 1674 2547 1723 1860 2442 1001 1235 2018
"OL67_002204" 5450 3497 2645 4209 4249 6500 5348 4429 6449 2898 3578 5772
"OL67_002205" 1065 1230 928 1261 1463 2095 1602 1504 2168 916 1045 1876
"OL67_002206" 32 179 151 150 59 94 98 87 112 50 83 96
"OL67_002207" 410 408 381 523 339 483 466 374 520 263 308 454
"OL67_002208" 205 202 121 139 192 249 267 211 262 130 162 201
"OL67_002209" 944 1012 707 1030 925 1448 1072 1052 1417 769 1002 1476
"OL67_002210" 1933 3479 2678 3917 1455 2230 1653 1474 1967 1579 2179 3177
"OL67_002211" 2341 6281 4913 6574 2682 3688 2963 2740 3588 3481 4769 6492
"OL67_002212" 914 1384 1081 1458 809 1140 921 826 1067 658 955 1327
"OL67_002213" 1351 3071 2213 3292 1944 2641 2104 2049 2795 1891 2632 3656
"OL67_002214" 254 366 255 357 262 444 306 285 379 246 331 469
"OL67_002215" 1172 1243 941 1253 1162 1616 1283 1304 1843 588 767 1051
"OL67_002216" 214 203 172 196 263 401 369 287 413 113 186 271
"OL67_002217" 266 272 207 272 302 499 374 307 508 174 254 351
"OL67_002218" 5744 6098 4562 5935 6635 9116 7380 7954 9959 3885 5463 8220
"OL67_002219" 1034 637 557 936 908 1449 1526 1147 1502 492 730 968
"OL67_002220" 972 633 591 729 902 1350 1231 1010 1349 541 689 1043
"OL67_002221" 2076 1313 1075 1448 1696 2618 2312 1871 2545 1013 1364 2094
"OL67_002222" 274 260 201 225 296 491 414 354 541 201 252 380
"OL67_002223" 151 400 328 203 198 232 227 239 272 177 201 394
"OL67_002224" 212 316 178 289 175 241 195 210 263 149 207 281
"OL67_002225" 970 720 576 981 856 1458 1170 1047 1422 908 1403 1456
"OL67_002226" 1563 944 594 868 1104 1604 1380 1128 1715 811 990 1560
"OL67_002228" 1459 479 355 718 801 1210 1086 989 1388 650 681 1290
"OL67_002229" 214 600 470 625 373 535 484 534 645 240 310 639
"OL67_002230" 278 390 273 352 339 507 446 396 485 165 276 381
"OL67_002231" 350 400 343 352 482 574 569 476 599 175 244 419
"OL67_002232" 177 734 509 661 151 220 158 141 177 196 249 543
"OL67_002234" 27 83 70 25 54 90 74 50 85 32 61 72
"OL67_002235" 103 248 195 200 109 185 165 153 190 98 153 151
"OL67_002236" 49 178 143 121 66 87 74 59 104 57 61 84
"OL67_002237" 52 136 82 78 81 122 115 109 145 53 73 117
"OL67_002238" 92 163 115 104 92 129 128 118 135 63 73 147
"OL67_002239" 18 41 24 36 21 23 24 17 53 12 31 39
"OL67_002240" 50 107 99 85 46 83 94 81 89 40 48 81
"OL67_002241" 90 157 103 135 93 103 120 95 145 54 60 115
"OL67_002242" 82 178 103 141 143 201 182 185 245 81 82 187
"OL67_002243" 67 123 95 102 64 113 93 102 121 49 63 110
"OL67_002244" 81 337 283 409 86 149 159 111 142 65 127 172
"OL67_002245" 465 611 430 176 582 739 756 608 827 246 351 491
"OL67_002246" 194 168 85 113 183 254 204 195 256 109 126 174
"OL67_002247" 121 148 61 85 121 156 133 85 185 69 125 134
"OL67_002248" 10 12 14 11 11 17 16 10 15 8 5 18
"OL67_002249" 50 41 32 44 55 85 47 39 58 20 31 54
"OL67_002250" 260 287 220 338 292 429 348 316 399 184 227 328
"OL67_002251" 43 82 61 64 58 106 74 60 86 37 66 64
"OL67_002252" 9 14 21 19 12 18 9 10 10 13 9 19
"OL67_002253" 0 7 5 8 1 4 6 2 11 6 12 7
"OL67_002254" 0 2 0 1 1 3 6 0 0 1 0 1
"OL67_002255" 5 9 2 1 0 3 6 6 3 2 4 5
"OL67_002256" 326 474 363 408 298 470 499 411 550 247 308 452
"OL67_002257" 2497 4282 2970 3001 2948 4005 4446 4074 5752 1897 2439 3801
"OL67_002258" 658 884 717 800 674 1041 1149 1054 1476 449 665 1006
"OL67_002259" 185 169 120 106 187 294 206 196 295 144 187 228
"OL67_002260" 70 60 43 58 48 62 73 53 82 66 92 82
"OL67_002261" 175 166 124 169 134 153 134 132 197 119 177 202
"OL67_002262" 125 111 76 126 95 118 101 89 122 99 110 147
"OL67_002263" 79 95 55 103 53 92 85 77 69 57 119 117
"OL67_002264" 278 471 255 447 200 236 283 209 355 282 490 455
"OL67_002265" 2822 2532 1606 2409 1964 2947 2315 2083 3113 1569 2131 2973
"OL67_002266" 3307 2200 1184 1576 1971 3178 2402 2025 3294 1523 1982 2999
"OL67_002267" 658 1349 1206 1371 785 1200 990 948 1219 988 1296 1690
"OL67_002268" 7655 22466 17579 21816 11049 14644 14847 14363 16670 12108 15750 28601
"OL67_002269" 1192 5542 3735 3767 1436 2083 1370 1322 1814 1860 2392 4415
"OL67_002270" 842 610 397 482 520 950 612 619 1011 589 856 1032
"OL67_002271" 138 218 124 324 88 121 124 85 100 197 358 230
"OL67_002272" 168 88 70 121 159 236 166 157 210 80 144 170
"OL67_002273" 1744 1399 984 1794 1148 1716 1493 1092 1877 1039 1380 1951
"OL67_002274" 12 23 16 24 14 13 15 13 13 17 38 42
"OL67_002275" 116 243 157 99 113 161 149 145 186 74 151 205
"OL67_002276" 865 613 446 688 676 975 843 673 997 449 637 914
"OL67_002277" 1574 1012 670 1135 1127 1739 1353 1112 1778 839 1047 1785
"OL67_002278" 88 103 90 97 95 162 136 118 198 66 85 133
"OL67_002279" 347 323 239 283 260 373 278 316 374 158 239 367
"OL67_002280" 1196 3639 3373 4276 1510 1959 2717 2359 2943 1402 1639 2997
"OL67_002281" 540 315 223 350 423 659 541 389 606 276 423 544
"OL67_002282" 1523 779 422 488 1108 1644 1466 1047 1781 916 1138 1519
"OL67_002283" 433 1087 773 809 457 624 404 518 615 379 493 816
"OL67_002284" 356 500 434 733 297 398 356 286 390 166 232 406
"OL67_002285" 16531 13880 10898 18471 10519 14642 12037 10800 15340 19544 31798 33857
"OL67_002286" 6254 5131 4254 10086 3729 5806 4311 3795 5485 5583 8298 9221
"OL67_002287" 4579 4416 4792 12405 3242 5164 4294 3619 4787 5612 7880 8953
"OL67_002288" 1949 2138 1346 2567 1243 1865 1794 1363 2032 1920 3004 3193
"OL67_002289" 227 323 210 74 271 421 276 288 438 181 220 368
"OL67_002290" 163 170 164 354 117 210 200 122 226 137 161 179
"OL67_002291" 48 45 29 54 25 28 33 35 43 19 35 42
"OL67_002292" 34 48 41 70 20 60 38 37 43 26 28 43
"OL67_002293" 142 137 105 145 154 250 172 196 209 117 119 173
"OL67_002294" 633 1037 721 1027 626 826 871 678 754 462 646 966
"OL67_002295" 29 30 12 32 10 37 34 29 31 14 21 56
"OL67_002296" 2281 4945 3768 6173 2599 3496 2867 3164 3655 1626 2149 3260
"OL67_002297" 925 591 538 379 856 1215 915 788 1235 492 574 842
"OL67_002298" 7181 4055 2574 4410 4386 6073 5379 4227 6629 3184 4128 5692
"OL67_002299" 68 179 116 76 108 107 108 121 138 99 119 139
"OL67_002300" 81 154 125 106 88 156 138 121 154 86 173 192
"OL67_002301" 83 132 96 70 119 161 116 121 165 82 116 194
"OL67_002302" 109 210 188 181 130 232 209 146 218 130 164 186
"OL67_002303" 249 403 279 309 367 485 384 398 536 255 325 423
"OL67_002304" 403 657 446 487 326 402 514 422 404 169 211 305
"OL67_002305" 601 826 446 719 535 571 630 605 572 229 331 529
"OL67_002306" 801 1048 741 726 696 879 848 864 844 294 403 634
"OL67_002307" 3427 2757 1978 2099 3001 4800 3274 3124 4875 2371 2923 4897
"OL67_002308" 3614 3769 2833 3985 3857 6159 3820 4089 6401 3395 4109 6541
"OL67_002309" 660 955 938 1624 748 1391 837 733 1126 966 966 1327
"OL67_002310" 214 171 138 373 114 176 184 135 181 190 344 283
"OL67_002311" 386 455 278 353 398 636 475 429 611 249 305 556
"OL67_002312" 1338 1918 1281 2120 953 1314 1258 1180 1419 813 1198 1796
"OL67_002313" 2587 2077 1453 1562 2310 3265 2621 2373 3472 1344 1820 2758
"OL67_002314" 885 430 336 525 568 880 589 558 801 375 433 637
"OL67_002315" 479 397 281 358 425 648 512 482 657 293 391 468
"OL67_002316" 6125 7534 5383 6825 4411 6527 5558 4631 6708 3199 3602 6959
"OL67_002317" 14830 25687 18732 26190 10828 15640 12519 11768 15640 11990 15819 19812
"OL67_002318" 435 465 257 329 368 538 490 403 599 210 305 466
"OL67_002319" 3743 5844 4423 7164 3452 4857 4055 4049 4912 2613 3516 5177
"OL67_002320" 4922 4655 3411 4272 4484 6374 4868 4825 6656 3259 3987 6399
"OL67_002321" 3931 3958 3261 3198 3029 4609 3437 3286 4562 2629 3149 4891
"OL67_002322" 399 638 523 593 432 618 520 331 549 393 493 899
"OL67_002323" 6541 50091 41113 35821 7493 9548 8296 8956 9998 18110 23751 37437
"OL67_002324" 117 106 83 93 127 230 175 151 185 109 134 145
"OL67_002325" 6055 5127 3816 5435 4907 7991 6102 5365 7992 3414 4173 7106
"OL67_002326" 362 782 549 628 502 747 709 603 790 371 486 707
"OL67_002327" 155 330 307 621 100 141 131 121 147 164 236 298
"OL67_002328" 1650 1164 641 660 1889 2484 2009 2025 2512 643 1075 1654
"OL67_002329" 1690 442 353 486 1401 2012 1405 1327 1890 429 585 858
"OL67_002330" 146 315 277 362 230 298 220 214 275 168 188 357
"OL67_002331" 9076 19007 13601 19488 9347 13111 3388 4104 4585 8828 12473 17727
"OL67_002332" 4815 6186 5395 9270 2929 4725 1466 1441 1773 3334 4360 6275
"OL67_002333" 8550 14172 9091 9116 14011 20771 15006 14730 23298 9854 12718 23326
"OL67_002334" 846 568 506 842 658 1042 827 660 941 497 626 920
"OL67_002335" 644 299 228 387 400 576 436 367 555 213 360 445
"OL67_002336" 2334 5892 3553 4289 1329 1821 1749 1545 2490 3541 6077 6110
"OL67_002337" 1482 1624 1197 1158 1409 2149 1601 1435 2197 1197 1366 2374
"OL67_002338" 709 697 570 713 803 1166 985 887 1047 412 601 958
"OL67_002339" 758 800 566 765 600 838 727 655 816 331 506 726
"OL67_002340" 137 79 58 67 113 113 131 132 135 61 72 114
"OL67_002341" 708 558 381 400 571 784 512 523 823 390 439 675
"OL67_002342" 5753 3665 2914 5641 3521 5917 4145 3532 5327 2934 3757 6007
"OL67_002343" 1342 3159 2223 1776 1434 1720 1216 1519 1958 3347 5619 7107
"OL67_002344" 10444 10143 8320 11222 7699 10673 6995 6932 9512 11217 15682 21013
"OL67_002345" 200 226 146 189 172 235 172 150 260 165 190 345
"OL67_002346" 90 89 75 73 56 68 60 47 81 34 61 103
"OL67_002347" 212 369 213 155 306 373 405 388 402 169 246 394
"OL67_002348" 1472 1490 1129 1716 1390 1960 1904 1740 2127 981 1232 1895
"OL67_002349" 728 852 653 615 989 1494 1271 1292 1346 549 802 1341
"OL67_002350" 2668 1742 1208 1811 2111 3245 2409 2540 3490 1306 1699 2558
"OL67_002351" 879 747 477 985 612 892 783 660 830 567 839 996
"OL67_002352" 1337 945 656 870 897 1463 1097 916 1537 636 833 1407
"OL67_002353" 510 3691 2802 4490 411 575 894 734 900 1487 2023 2579
"OL67_002354" 57 549 348 310 68 87 141 103 156 296 509 693
"OL67_002355" 27 37 35 38 27 35 72 33 51 559 642 770
"OL67_002356" 42 26 12 55 42 49 118 34 67 904 982 1341
"OL67_002357" 324 225 193 305 244 348 265 244 310 149 195 300
"OL67_002358" 2819 2232 1699 3054 1757 2704 2152 1935 2527 1343 1921 2635
"OL67_002359" 225 823 529 520 327 464 371 382 612 242 302 445
"OL67_002360" 130 304 194 319 176 235 216 143 254 105 127 213
"OL67_002361" 421 1364 1008 1911 506 788 639 652 934 1048 1547 1973
"OL67_002362" 824 965 569 794 496 697 521 474 840 779 1161 1435
"OL67_002363" 744 2436 1458 1071 977 1312 1114 994 1495 1466 2112 3247
"OL67_002364" 706 1345 1056 1516 526 862 612 555 896 1198 1636 2294
"OL67_002365" 570 1760 1335 1245 757 796 1325 1067 1432 487 674 1309
"OL67_002366" 30 161 105 76 75 80 127 126 109 39 61 112
"OL67_002367" 539 1106 748 1443 374 447 444 376 446 773 1243 1282
"OL67_002368" 847 2256 1891 3371 646 881 742 583 800 1454 2399 2756
"OL67_002369" 5963 4637 3331 5886 4631 6992 5201 5012 7606 4049 5038 8068
"OL67_002370" 63 71 48 67 38 53 50 41 54 47 81 91
"OL67_002371" 366 774 612 952 358 501 530 375 547 478 681 992
"OL67_002372" 8425 7634 5696 9767 7297 11498 9329 8233 11799 5574 6596 10445
"OL67_002373" 36 50 26 30 27 52 40 32 45 11 21 44
"OL67_002374" 103 2951 2301 3529 129 192 201 180 231 156 193 317
"OL67_002375" 375 1558 1162 979 662 774 1525 1273 1601 526 659 1180
"OL67_002376" 1925 1835 1546 3280 1263 1950 2024 1296 1868 1732 2201 2610
"OL67_002377" 896 1073 1009 2695 550 996 852 710 865 904 1209 1358
"OL67_002378" 186 222 176 342 135 200 114 140 185 141 225 262
"OL67_002379" 512 1219 1011 1204 554 709 647 558 792 1114 1709 1860
"OL67_002380" 1368 1061 586 903 854 1234 956 903 1407 548 780 1201
"OL67_002381" 733 1008 545 503 721 1056 941 770 1223 496 766 1119
"OL67_002382" 570 680 387 402 451 611 663 497 714 289 383 569
"OL67_002383" 693 345 269 367 487 771 627 546 664 347 425 564
"OL67_002384" 160 108 62 97 179 217 140 169 240 88 167 188
"OL67_002385" 1347 1412 1093 1687 874 1346 1020 890 1156 1011 1490 1797
"OL67_002386" 1771 6962 4430 4103 1920 2575 2186 2024 2693 4677 6556 7357
"OL67_002387" 2362 10568 6226 8695 1866 2750 2038 1624 2806 7638 13239 12633
"OL67_002388" 377 580 306 410 359 475 450 320 490 440 715 958
"OL67_002389" 722 742 548 874 618 886 681 581 880 599 869 1139
"OL67_002390" 1593 2066 1665 2294 1286 1841 1442 1399 1763 1151 1476 2193
"OL67_002391" 205 1548 1041 615 957 1198 1205 1171 1568 475 637 1046
"OL67_002392" 1077 1377 1296 1512 850 1369 1431 1074 1365 600 818 1231
"OL67_002393" 416 430 247 342 283 469 440 296 498 290 358 570
"OL67_002394" 3941 3281 2234 3663 2709 3365 2914 2545 3543 2998 4715 6449
"OL67_002395" 636 486 322 492 532 640 603 433 761 456 818 997
"OL67_002396" 10312 5288 4227 5104 13042 19786 4707 5274 5554 4685 5168 8612
"OL67_002397" 403 237 201 204 322 472 400 351 477 191 258 379
"OL67_002398" 255 301 234 427 171 304 291 178 287 245 397 296
"OL67_002399" 397 3894 2220 1456 526 689 621 557 809 3003 6150 5351
"OL67_002400" 2190 7146 5576 4922 1388 1807 1654 1558 2103 5246 8239 9172
"OL67_002401" 147 217 111 154 127 178 110 128 206 83 119 191
"OL67_002402" 746 650 567 1065 755 1188 768 713 1082 741 840 1223
"OL67_002403" 1403 968 886 1196 1334 2139 1642 1453 2083 1222 1498 2177
"OL67_002404" 405 547 335 442 347 498 419 322 483 479 600 768
"OL67_002405" 268 361 280 384 257 364 249 225 333 259 397 534
"OL67_002406" 37 42 20 38 25 26 37 27 32 19 25 33
"OL67_002407" 216 218 107 91 224 287 277 246 333 131 215 262
"OL67_002408" 146524 64049 56617 115495 75841 113092 86546 71379 93497 128293 155587 166586
"OL67_002409" 21407 9937 7474 16722 12461 17191 13199 12438 14082 18721 26708 25641
"OL67_002410" 250 191 128 132 201 307 229 223 307 128 239 280
"OL67_002411" 3321 16616 11290 12894 3376 5061 4234 3576 5691 4177 4867 9185
"OL67_002412" 156 1280 2301 5049 163 430 528 309 356 1142 1051 829
"OL67_002413" 537 672 543 672 384 791 598 468 671 412 516 711
"OL67_002414" 207 330 222 280 298 427 320 298 446 190 238 363
"OL67_002415" 1333 871 754 984 1100 1656 1414 1077 1532 603 824 1270
"OL67_002416" 379 258 169 219 365 525 350 320 569 167 235 370
"OL67_002417" 1117 905 626 730 1236 1753 1471 1221 1792 704 879 1535
"OL67_002418" 207 255 187 226 218 341 195 249 314 193 350 407
"OL67_002419" 16 31 15 29 21 41 27 19 33 47 68 112
"OL67_002420" 406 301 253 720 226 388 301 227 334 225 342 400
"OL67_002421" 2270 2950 2328 3448 1981 3500 2784 2108 3175 2559 2931 4667
"OL67_002422" 51 62 51 41 76 92 81 81 100 51 74 91
"OL67_002423" 153 161 90 99 154 245 187 145 241 93 120 194
"OL67_002424" 5928 3835 2989 2821 3868 6072 4932 4319 6456 3517 4802 6352
"OL67_002425" 18293 14373 13559 29438 13567 21870 16058 16382 22516 14406 17183 22194
"OL67_002426" 7902 6820 7295 16369 6070 10633 9169 8213 10320 7018 7947 9728
"OL67_002427" 18767 16681 15568 32065 14543 22949 20640 18563 25324 16195 19046 25037
"OL67_002428" 7290 7050 6496 12508 5189 8553 7241 6276 9153 5837 6673 10230
"OL67_002429" 202 235 146 225 145 224 160 125 150 109 250 263
"OL67_002430" 607 1065 810 1039 638 963 972 821 934 551 722 1066
"OL67_002431" 20163 68067 59583 107701 19672 26283 24941 23772 29733 37863 56787 68800
"OL67_002432" 1392 2981 2665 4129 1240 1826 1639 1518 1795 1597 2242 2954
"OL67_002433" 329 470 347 357 314 515 348 384 466 202 262 396
"OL67_002434" 604 538 361 553 535 684 569 474 664 316 397 591
"OL67_002435" 1377 1126 857 1450 808 1191 1128 750 1104 555 872 1137
"OL67_002436" 96 117 89 162 125 220 190 148 189 122 161 171
"OL67_002437" 201 212 151 174 190 281 175 177 242 138 142 252
"OL67_002438" 906 677 516 604 714 1060 947 839 1134 514 602 983
"OL67_002439" 573 615 467 382 587 960 654 593 803 542 614 926
"OL67_002440" 670 618 438 800 520 868 583 514 829 531 750 869
"OL67_002441" 185 305 201 158 236 274 278 227 335 120 208 239
"OL67_002442" 280 251 166 173 313 457 396 390 518 147 169 295
"OL67_002443" 35913 20332 12814 17690 23870 35352 22496 25258 39265 18714 22275 38789
"OL67_002444" 721 203 151 296 432 738 297 224 432 281 364 408
"OL67_002445" 79 127 68 135 53 94 74 79 107 59 80 93
"OL67_002446" 84 143 59 82 93 95 81 69 142 54 96 120
"OL67_002447" 6 43 16 10 19 22 21 14 28 7 15 6
"OL67_002454" 58 139 83 110 53 108 65 62 88 55 79 86
"OL67_002455" 225 187 144 155 170 272 177 166 251 116 223 251
"OL67_002456" 28 39 13 24 24 29 46 36 55 26 40 56
"OL67_002457" 539 3442 2690 4689 451 764 513 439 569 1832 2118 3207
